t,sector,dataType,value
0,0,consumptionBudget,4093362.0
0,0,consumptionValue,NA
0,0,consumptionVolume,NA
0,0,laborUsed,NA
0,0,maxPrice,NA
0,0,minPrice,NA
0,0,price,100.0
0,0,productionValue,0.0
0,0,productionVolume,0.0
0,0,productDestruction,NA
0,0,sectorSize,0.0
0,0,speed,0.0
0,0,unsoldVolume,NA
0,0,unsoldVolumePositif,NA
0,1,consumptionBudget,3759970.5
0,1,consumptionValue,NA
0,1,consumptionVolume,NA
0,1,laborUsed,NA
0,1,maxPrice,NA
0,1,minPrice,NA
0,1,price,100.0
0,1,productionValue,0.0
0,1,productionVolume,0.0
0,1,productDestruction,NA
0,1,sectorSize,0.0
0,1,speed,0.0
0,1,unsoldVolume,NA
0,1,unsoldVolumePositif,NA
0,2,consumptionBudget,4370040.5
0,2,consumptionValue,NA
0,2,consumptionVolume,NA
0,2,laborUsed,NA
0,2,maxPrice,NA
0,2,minPrice,NA
0,2,price,100.0
0,2,productionValue,7071603.5
0,2,productionVolume,70716.11
0,2,productDestruction,NA
0,2,sectorSize,1100.0
0,2,speed,0.0
0,2,unsoldVolume,NA
0,2,unsoldVolumePositif,NA
0,3,consumptionBudget,3576276.0
0,3,consumptionValue,NA
0,3,consumptionVolume,NA
0,3,laborUsed,NA
0,3,maxPrice,NA
0,3,minPrice,NA
0,3,price,100.0
0,3,productionValue,74211.82
0,3,productionVolume,742.1182
0,3,productDestruction,NA
0,3,sectorSize,21.0
0,3,speed,0.0
0,3,unsoldVolume,NA
0,3,unsoldVolumePositif,NA
0,4,consumptionBudget,4392227.5
0,4,consumptionValue,NA
0,4,consumptionVolume,NA
0,4,laborUsed,NA
0,4,maxPrice,NA
0,4,minPrice,NA
0,4,price,100.0
0,4,productionValue,26771.445
0,4,productionVolume,267.71442
0,4,productDestruction,NA
0,4,sectorSize,8.0
0,4,speed,0.0
0,4,unsoldVolume,NA
0,4,unsoldVolumePositif,NA
0,5,consumptionBudget,2192480.5
0,5,consumptionValue,NA
0,5,consumptionVolume,NA
0,5,laborUsed,NA
0,5,maxPrice,NA
0,5,minPrice,NA
0,5,price,100.0
0,5,productionValue,3997072.2
0,5,productionVolume,39970.715
0,5,productDestruction,NA
0,5,sectorSize,674.0
0,5,speed,0.0
0,5,unsoldVolume,NA
0,5,unsoldVolumePositif,NA
0,6,consumptionBudget,4756630.5
0,6,consumptionValue,NA
0,6,consumptionVolume,NA
0,6,laborUsed,NA
0,6,maxPrice,NA
0,6,minPrice,NA
0,6,price,100.0
0,6,productionValue,201123.52
0,6,productionVolume,2011.2355
0,6,productDestruction,NA
0,6,sectorSize,51.0
0,6,speed,0.0
0,6,unsoldVolume,NA
0,6,unsoldVolumePositif,NA
0,7,consumptionBudget,4564656.0
0,7,consumptionValue,NA
0,7,consumptionVolume,NA
0,7,laborUsed,NA
0,7,maxPrice,NA
0,7,minPrice,NA
0,7,price,100.0
0,7,productionValue,1.4572007E7
0,7,productionVolume,145720.08
0,7,productDestruction,NA
0,7,sectorSize,2004.0
0,7,speed,0.0
0,7,unsoldVolume,NA
0,7,unsoldVolumePositif,NA
0,8,consumptionBudget,2996298.8
0,8,consumptionValue,NA
0,8,consumptionVolume,NA
0,8,laborUsed,NA
0,8,maxPrice,NA
0,8,minPrice,NA
0,8,price,100.0
0,8,productionValue,117395.59
